Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Metric,Sex,Value,Method,16 and Over,16-24,25-34,35-49,50-59,60 and Over,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix),"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,mortality_target
2014,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,,660,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,,4497,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,,3559,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,,3598,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,,7417,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,,8432,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,,2253,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,,1189,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,,23439,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,,23389,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,21784,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,56258,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,2443,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,31670,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,,5370,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,,127,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,,1744,,,,,,,,,,,,,,,,,,,,,,,,0
2014,All codes,All deaths,All deaths,Attributable number,,77800,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-D48,All cancers,All cancers,Attributable number,,37400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,,23200,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,,16400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,,800,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,,23100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,,1400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,,500,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,,4100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,,100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,,1700,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,,800,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C16,Stomach,Cancers which can be caused by smoking,Attributable number,,700,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,,1700,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,,3000,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,,400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,,1000,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,,18000,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,,4100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,2800,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,,7400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,,400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,,2700,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,,3100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,,0,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,,800,,,,,,,,,,,,,,,,,,,,,,,,0
2014,All codes,All deaths,All deaths,Number of observed deaths,Male,223044,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Male,123135,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-D48,All cancers,All cancers,Number of observed deaths,Male,72488,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Male,29921,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Male,63814,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Male,10942,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Male,15844,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Male,1490,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Male,537,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Male,4270,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Male,0,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Male,3054,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Male,2228,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Male,2320,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Male,3710,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Male,4071,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Male,1294,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,751,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,11937,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Male,10315,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,9198,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,33725,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,1012,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,13135,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,3220,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Male,60,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Male,964,,,,,,,,,,,,,,,,,,,,,,,,0
2014,All codes,All deaths,All deaths,Attributable number,Male,47000,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-D48,All cancers,All cancers,Attributable number,Male,23800,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Male,12300,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Male,10400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Male,500,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Male,13700,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Male,1100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Male,400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Male,2900,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Male,0,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Male,1300,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Male,700,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Male,600,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Male,800,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Male,2100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Male,300,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Male,700,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Male,9300,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Male,2400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1600,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,5100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,200,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Male,1600,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Male,2000,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Male,0,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Male,500,,,,,,,,,,,,,,,,,,,,,,,,0
2014,All codes,All deaths,All deaths,Number of observed deaths,Female,236043,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,Female,112685,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-D48,All cancers,All cancers,Number of observed deaths,Female,63824,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,Female,31823,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,Female,62287,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,Female,11393,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,Female,12982,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,Female,707,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,Female,116,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,Female,2045,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,Female,660,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,Female,1443,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,Female,1331,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,Female,1278,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,Female,3707,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,Female,4361,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,Female,959,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,438,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,11502,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,Female,13074,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,12586,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,22533,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,1431,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,18535,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,2150,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Number of observed deaths,Female,67,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Number of observed deaths,Female,780,,,,,,,,,,,,,,,,,,,,,,,,0
2014,All codes,All deaths,All deaths,Attributable number,Female,30800,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-D48,All cancers,All cancers,Attributable number,Female,13600,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J00-J99,All respiratory diseases,All respiratory diseases,Attributable number,Female,10800,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I99,All circulatory diseases,All circulatory diseases,Attributable number,Female,6000,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Attributable number,Female,300,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Attributable number,Female,9400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Attributable number,Female,300,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C32,Larynx,Cancers which can be caused by smoking,Attributable number,Female,100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C15,Oesophagus,Cancers which can be caused by smoking,Attributable number,Female,1200,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C53,Cervical,Cancers which can be caused by smoking,Attributable number,Female,100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C67,Bladder,Cancers which can be caused by smoking,Attributable number,Female,400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Attributable number,Female,100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C16,Stomach,Cancers which can be caused by smoking,Attributable number,Female,100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C25,Pancreas,Cancers which can be caused by smoking,Attributable number,Female,900,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C80,Unspecified Site,Cancers which can be caused by smoking,Attributable number,Female,900,,,,,,,,,,,,,,,,,,,,,,,,0
2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Attributable number,Female,100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Attributable number,Female,400,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Attributable number,Female,8800,,,,,,,,,,,,,,,,,,,,,,,,0
2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Attributable number,Female,1700,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1200,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,2300,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,200,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Attributable number,Female,1100,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Attributable number,Female,1200,,,,,,,,,,,,,,,,,,,,,,,,0
2014,I70,Atherosclerosis,Circulatory diseases which can be caused by smoking,Attributable number,Female,0,,,,,,,,,,,,,,,,,,,,,,,,0
2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Attributable number,Female,300,,,,,,,,,,,,,,,,,,,,,,,,0
2013,All codes,All deaths,All deaths,Number of observed deaths,,463986,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All deaths which can be caused by smoking,All deaths which can be caused by smoking,Number of observed deaths,,241683,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C00-D48,All cancers,All cancers,Number of observed deaths,,134969,,,,,,,,,,,,,,,,,,,,,,,,0
2013,J00-J99,All respiratory diseases,All respiratory diseases,Number of observed deaths,,68891,,,,,,,,,,,,,,,,,,,,,,,,0
2013,I00-I99,All circulatory diseases,All circulatory diseases,Number of observed deaths,,129968,,,,,,,,,,,,,,,,,,,,,,,,0
2013,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of observed deaths,,22458,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of observed deaths,,28521,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of observed deaths,,2059,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C32,Larynx,Cancers which can be caused by smoking,Number of observed deaths,,649,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C15,Oesophagus,Cancers which can be caused by smoking,Number of observed deaths,,6324,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C53,Cervical,Cancers which can be caused by smoking,Number of observed deaths,,663,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C67,Bladder,Cancers which can be caused by smoking,Number of observed deaths,,4226,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of observed deaths,,3423,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C16,Stomach,Cancers which can be caused by smoking,Number of observed deaths,,3733,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C25,Pancreas,Cancers which can be caused by smoking,Number of observed deaths,,7082,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C80,Unspecified Site,Cancers which can be caused by smoking,Number of observed deaths,,8019,,,,,,,,,,,,,,,,,,,,,,,,0
2013,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of observed deaths,,2495,,,,,,,,,,,,,,,,,,,,,,,,0
2013,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of observed deaths,,1135,,,,,,,,,,,,,,,,,,,,,,,,0
2013,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of observed deaths,,24462,,,,,,,,,,,,,,,,,,,,,,,,0
2013,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of observed deaths,,24636,,,,,,,,,,,,,,,,,,,,,,,,0
2013,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,22901,,,,,,,,,,,,,,,,,,,,,,,,0
2013,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of observed deaths,,59165,,,,,,,,,,,,,,,,,,,,,,,,0
